ID,X,Y,Z,R,G,B,PART
7C554A2444BDC542,-1.42,-8.98,30.60,0.24,0.25,0.25,BODY
510B7DD7F0867F54,-0.01,-9.01,30.00,0.74,0.75,0.74,BODY
FB71E1538F452F8C,1.38,-8.80,30.20,0.80,0.77,0.78,BODY
5B4D4A7D2FB2FAD5,2.26,-8.98,30.40,0.88,0.85,0.84,BODY
EFCDD4922BD1AD91,-4.55,-8.85,30.60,0.45,0.46,0.45,BODY
EB24B9470F4FDBF3,-3.53,-8.80,30.00,0.65,0.65,0.65,BODY
743B3D0E5C7B27C6,-1.99,-9.10,30.20,0.74,0.75,0.74,BODY
A5BB69FE50D64768,-0.72,-9.05,30.40,0.13,0.14,0.16,BODY
845637D36C25A9FA,-0.05,-8.98,30.60,0.81,0.81,0.81,BODY
A396B650D98C21A8,1.03,-9.10,30.00,0.81,0.78,0.78,BODY
217B567D111FDC2A,2.16,-9.20,30.20,0.89,0.85,0.84,BODY
6A185A25F02D9CE5,-4.47,-8.60,30.40,0.53,0.53,0.53,BODY
DF383DD9FBB4039B,-2.76,-8.58,30.60,0.67,0.67,0.67,BODY
A6B487C84919D46D,-2.13,-8.81,30.00,0.74,0.74,0.73,BODY
ACF50A135B0D8C14,-0.92,-8.68,30.20,0.09,0.11,0.13,BODY
42A1699C6B46649C,0.29,-8.90,30.40,0.83,0.80,0.80,BODY
E3D9C3EF73372661,1.56,-8.75,30.60,0.76,0.73,0.72,BODY
B9F209C82F84303D,2.87,-9.06,30.00,0.88,0.85,0.84,BODY
3431A39C88AF0FDD,-4.10,-8.59,30.20,0.57,0.58,0.57,BODY
3DA22856BB39D26F,-3.03,-8.68,30.40,0.71,0.70,0.71,BODY
E4FFA33D3F4C7A13,-1.60,-8.50,30.60,0.74,0.74,0.73,BODY
8EA1443275AED3D6,-0.50,-8.94,30.00,0.16,0.16,0.16,BODY
4E0F8CE3E5E6F97D,0.70,-8.93,30.20,0.85,0.83,0.82,BODY
61F541CECF152D28,1.71,-8.99,30.40,0.84,0.80,0.78,BODY
C456381BE0AF56C7,2.91,-8.61,30.60,0.87,0.84,0.84,BODY
719D92261447ABD6,-3.73,-8.61,30.00,0.59,0.60,0.59,BODY
BE5C3062CCDC1555,-2.39,-8.95,30.20,0.71,0.70,0.71,BODY
1BD23396F720212A,-1.55,-8.86,30.40,0.72,0.72,0.72,BODY
A63A60D400E23A63,-0.15,-8.92,30.60,0.22,0.22,0.22,BODY
965DE8DF8535524D,0.80,-9.04,30.00,0.84,0.82,0.81,BODY
CD7928A8DBB39B09,1.82,-8.52,30.20,0.85,0.82,0.78,BODY
88C4FC69EE0D0EB3,3.01,-8.61,30.40,0.87,0.86,0.85,BODY
EB1B5330ECCE64AF,-3.78,-8.96,30.60,0.61,0.62,0.61,BODY
14BC68993450F7D9,-2.36,-8.92,30.00,0.72,0.71,0.72,BODY
9A8D7887222776EC,-1.22,-8.93,30.20,0.65,0.64,0.65,BODY
5DEF7EF6BCC7533A,-0.29,-8.64,30.40,0.25,0.26,0.25,BODY
4248D307BF6DCA23,0.82,-8.48,30.60,0.84,0.83,0.81,BODY
893791FDB0E9F831,2.07,-8.97,30.00,0.87,0.83,0.81,BODY
9F6FD0140B865195,3.37,-8.58,30.20,0.84,0.83,0.81,BODY
61435FC1531C08D0,-3.74,-8.92,30.40,0.62,0.63,0.62,BODY
